"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","225,500","223,500","230,000","223,000","1.11M","-0.22%"
"04/04/2024","226,000","218,500","228,000","216,500","1.31M","4.63%"
"04/03/2024","216,000","219,000","223,500","214,500","1.10M","-1.82%"
"04/02/2024","220,000","225,000","226,500","216,500","1.72M","-3.30%"
"04/01/2024","227,500","234,500","235,000","227,000","878.09K","-2.36%"
"03/29/2024","233,000","238,000","239,000","232,000","839.11K","-1.69%"
"03/28/2024","237,000","246,000","246,000","236,000","980.84K","-2.87%"
"03/27/2024","244,000","241,000","247,500","240,500","808.44K","1.46%"
"03/26/2024","240,500","239,000","244,000","238,500","792.39K","0.42%"
"03/25/2024","239,500","244,000","245,500","239,500","774.97K","-1.64%"
"03/22/2024","243,500","252,500","254,000","241,000","1.08M","-3.37%"
"03/21/2024","252,000","247,000","254,000","246,000","1.55M","4.56%"
"03/20/2024","241,000","240,000","246,000","237,500","1.23M","1.47%"
"03/19/2024","237,500","241,000","244,000","236,000","939.93K","-2.06%"
"03/18/2024","242,500","244,000","247,500","241,000","716.11K","-0.41%"
"03/17/2024","243,500","250,000","243,500","243,500","0.88K","0.00%"
"03/15/2024","243,500","250,000","254,500","243,500","1.16M","-3.18%"
"03/14/2024","251,500","247,500","255,000","246,000","0.19K","1.21%"
"03/13/2024","248,500","243,500","250,000","241,000","0.26K","2.90%"
"03/12/2024","241,500","244,000","247,000","240,000","1.09M","-0.82%"
"03/11/2024","243,500","251,000","252,500","242,500","0.29K","-3.75%"
"03/10/2024","253,000","253,000","253,000","253,000","","0.00%"
"03/08/2024","253,000","251,500","255,000","249,500","1.20M","1.20%"
"03/07/2024","250,000","252,500","257,500","247,500","0.11K","-0.40%"
"03/06/2024","251,000","246,500","253,500","246,500","0.40K","0.80%"
"03/05/2024","249,000","251,500","254,500","247,500","0.05K","-2.54%"
"03/04/2024","255,500","255,000","259,500","253,000","0.06K","2.00%"
"03/03/2024","250,500","250,500","250,500","250,500","","0.00%"
"02/29/2024","250,500","246,500","253,500","243,500","2.03M","1.01%"
"02/28/2024","248,000","234,000","250,000","231,500","0.70K","3.98%"
"02/27/2024","238,500","239,000","244,500","237,500","0.88K","-0.21%"
"02/26/2024","239,000","237,500","241,000","231,500","1.74M","-2.05%"
"02/25/2024","244,000","244,000","244,000","244,000","","0.00%"
"02/23/2024","244,000","244,000","249,500","242,000","1.64M","0.21%"
"02/22/2024","243,500","238,500","245,500","238,000","0.04K","1.67%"
"02/21/2024","239,500","242,000","246,000","237,500","0.85K","-1.03%"
"02/20/2024","242,000","250,000","252,500","238,500","0.05K","-4.16%"
"02/19/2024","252,500","253,000","256,500","249,000","0.58K","0.00%"
"02/18/2024","252,500","252,500","252,500","252,500","","0.00%"
"02/16/2024","252,500","241,500","253,000","235,500","2.23M","5.21%"
"02/15/2024","240,000","250,000","250,000","237,500","0.03K","-2.24%"
"02/14/2024","245,500","245,000","250,500","245,000","0.02K","-1.41%"
"02/13/2024","249,000","251,500","261,000","248,000","0.15K","-0.40%"
"02/12/2024","250,000","250,000","250,000","250,000","","0.00%"
"02/08/2024","250,000","243,000","250,500","241,500","2.99M","2.04%"
"02/07/2024","245,000","239,000","246,000","238,000","8.06K","4.03%"
"02/06/2024","235,500","234,000","240,000","230,500","3.10M","-1.05%"
"02/05/2024","238,000","233,500","239,500","226,500","1.28K","4.85%"
"02/04/2024","227,000","227,000","227,000","227,000","","0.00%"
"02/02/2024","227,000","221,500","228,000","214,000","5.81M","9.13%"
"02/01/2024","208,000","194,000","209,000","193,600","0.71K","6.89%"
"01/31/2024","194,600","189,400","195,400","188,500","0.15K","2.42%"
"01/30/2024","190,000","196,100","196,500","189,300","0.26K","-2.86%"
"01/29/2024","195,600","187,300","197,300","186,700","0.02K","4.43%"
"01/28/2024","187,300","187,300","187,300","187,300","","0.00%"
"01/26/2024","187,300","189,300","189,600","186,500","465.40K","-0.74%"
"01/25/2024","188,700","184,500","190,500","183,600","0.01K","2.00%"
"01/24/2024","185,000","185,300","185,400","182,100","345.24K","0.11%"
"01/23/2024","184,800","180,900","184,800","180,900","0.07K","2.61%"
"01/22/2024","180,100","182,300","182,400","179,800","354.12K","-0.88%"
"01/21/2024","181,700","181,700","181,700","181,700","","0.00%"
"01/19/2024","181,700","183,000","183,000","180,100","287.50K","0.83%"
"01/18/2024","180,200","180,100","182,500","179,900","0.00K","-0.88%"
"01/17/2024","181,800","186,300","186,300","181,000","0.03K","-2.36%"
"01/16/2024","186,200","186,800","188,100","185,700","0.07K","-0.69%"
"01/15/2024","187,500","186,000","188,600","185,800","250.35K","0.81%"
"01/14/2024","186,000","186,000","186,000","186,000","","0.00%"
"01/12/2024","186,000","186,600","187,400","185,800","239.48K","-0.53%"
"01/11/2024","187,000","187,100","189,000","187,000","0.81K","0.16%"
"01/10/2024","186,700","185,700","187,300","185,200","0.00K","0.59%"
