"Date","Price","Open","High","Low","Vol.","Change %"
"04/05/2024","940.60","946.60","947.50","926.90","","-1.26%"
"04/04/2024","952.60","953.30","958.20","942.10","","0.64%"
"04/03/2024","946.50","937.50","953.20","927.80","","1.31%"
"04/02/2024","934.30","914.40","942.20","912.80","36.25K","2.51%"
"04/01/2024","911.40","922.70","928.70","905.00","","-1.40%"
"03/31/2024","924.35","922.80","926.85","922.15","","0.15%"
"03/29/2024","923.00","923.00","923.00","923.00","","0.21%"
"03/28/2024","921.10","911.20","923.80","904.30","25.09K","1.25%"
"03/27/2024","909.70","917.30","919.80","900.20","","-0.89%"
"03/26/2024","917.90","917.30","922.95","913.15","","-0.12%"
"03/25/2024","919.00","907.90","925.50","906.80","24.80K","0.89%"
"03/24/2024","910.90","907.65","911.40","907.00","","1.39%"
"03/22/2024","898.40","911.30","913.70","896.40","","-1.60%"
"03/21/2024","913.00","911.30","922.30","908.60","39.21K","1.51%"
"03/20/2024","899.40","898.90","913.70","891.50","38.43K","-0.19%"
"03/19/2024","901.10","920.00","920.30","895.90","41.58K","-2.18%"
"03/18/2024","921.20","941.60","942.80","918.60","32.81K","-2.15%"
"03/17/2024","941.45","944.00","944.00","939.70","","-0.22%"
"03/15/2024","943.50","932.00","958.90","928.20","33.42K","0.83%"
"03/14/2024","935.70","945.60","948.00","930.10","29.94K","-0.97%"
"03/13/2024","944.90","928.20","946.50","925.80","29.37K","1.80%"
"03/12/2024","928.20","942.10","943.20","915.40","41.08K","-1.31%"
"03/11/2024","940.50","917.50","944.70","917.00","37.02K","2.17%"
"03/10/2024","920.50","917.05","920.90","917.05","","0.62%"
"03/08/2024","914.80","925.50","931.80","911.30","33.33K","-0.93%"
"03/07/2024","923.40","913.40","930.50","908.70","33.40K","0.98%"
"03/06/2024","914.40","886.30","916.80","884.50","35.69K","3.07%"
"03/05/2024","887.20","902.90","904.00","884.00","30.84K","-1.89%"
"03/04/2024","904.30","892.30","907.50","887.60","30.02K","1.64%"
"03/03/2024","889.75","891.55","895.40","889.45","","0.20%"
"03/01/2024","888.00","883.80","893.10","870.10","38.75K","0.45%"
"02/29/2024","884.00","883.50","893.60","879.00","24.81K","-0.12%"
"02/28/2024","885.10","896.60","897.20","881.70","23.74K","-0.76%"
"02/27/2024","891.90","880.10","894.70","879.90","0.11K","1.72%"
"02/26/2024","876.80","901.90","903.60","876.70","0.03K","-3.06%"
"02/25/2024","904.50","907.10","907.70","904.50","","-0.26%"
"02/23/2024","906.90","897.90","904.20","897.80","0.05K","0.15%"
"02/22/2024","905.50","889.80","909.60","888.60","","1.79%"
"02/21/2024","889.60","910.20","916.20","886.80","","-2.70%"
"02/20/2024","914.30","914.20","921.70","900.60","33.51K","0.96%"
"02/19/2024","905.65","912.95","917.90","903.75","","-0.83%"
"02/18/2024","913.20","914.70","915.40","912.25","","-0.03%"
"02/16/2024","913.50","905.30","917.00","894.20","","0.92%"
"02/15/2024","905.20","897.50","910.20","893.70","","0.88%"
"02/14/2024","897.30","878.80","903.60","876.80","","2.09%"
"02/13/2024","878.90","896.90","906.80","874.20","","-2.03%"
"02/12/2024","897.10","880.90","900.60","878.30","","1.75%"
"02/11/2024","881.65","880.35","881.95","878.30","","0.39%"
"02/09/2024","878.20","895.60","899.00","873.30","","-1.77%"
"02/08/2024","894.00","886.90","895.90","877.50","","0.80%"
"02/07/2024","886.90","912.10","914.80","884.70","","-2.71%"
"02/06/2024","911.60","904.55","915.35","899.75","","0.90%"
"02/05/2024","903.50","901.60","910.70","897.20","","-0.09%"
"02/04/2024","904.30","901.35","904.95","900.30","","0.30%"
"02/02/2024","901.60","922.20","933.80","899.20","","-2.24%"
"02/01/2024","922.30","928.40","932.30","910.20","","-1.10%"
"01/31/2024","932.60","933.50","944.00","925.00","","0.10%"
"01/30/2024","931.70","939.00","940.00","922.10","","-0.70%"
"01/29/2024","938.30","921.70","940.60","916.00","","2.09%"
"01/28/2024","919.05","921.55","924.40","918.20","","-0.24%"
"01/26/2024","921.30","898.40","924.90","896.50","","3.00%"
"01/25/2024","894.50","908.80","911.50","892.50","","-2.23%"
"01/24/2024","914.90","908.50","922.10","906.60","","1.04%"
"01/23/2024","905.50","900.10","917.10","900.10","","0.28%"
"01/22/2024","903.00","909.40","913.20","899.70","","-0.54%"
"01/21/2024","907.90","907.75","909.30","905.90","","0.10%"
"01/19/2024","907.00","916.40","924.00","900.80","","-0.55%"
"01/18/2024","912.00","891.10","916.50","889.90","","2.52%"
"01/17/2024","889.60","904.20","906.50","883.20","","-1.64%"
"01/16/2024","904.40","917.00","926.70","901.60","","-1.84%"
"01/15/2024","921.35","917.90","926.70","916.95","","0.39%"
"01/14/2024","917.80","916.85","919.00","916.30","","-0.36%"
"01/12/2024","921.10","924.40","946.60","914.00","","0.16%"
"01/11/2024","919.60","929.40","941.70","918.00","","-1.08%"
"01/10/2024","929.60","941.90","948.00","926.00","","-1.47%"
"01/09/2024","943.50","956.80","963.70","940.70","","-1.66%"
"01/08/2024","959.40","971.30","976.80","955.10","","-1.24%"
"01/07/2024","971.40","973.35","973.45","970.50","","-0.04%"
"01/05/2024","971.80","968.40","981.80","953.90","","0.57%"
"01/04/2024","966.30","986.40","988.20","964.20","","-2.11%"
"01/03/2024","987.10","996.90","1,001.30","976.20","","-1.12%"
"01/02/2024","998.30","1,006.60","1,015.10","993.20","","-0.78%"
"01/01/2024","1,006.15","1,005.65","1,007.25","1,005.00","","-0.30%"
"12/29/2023","1,009.20","1,022.60","1,026.60","1,004.80","18.53K","-1.37%"
"12/28/2023","1,023.20","1,014.40","1,031.00","1,009.10","","0.96%"
"12/27/2023","1,013.50","998.00","1,016.85","989.70","","1.80%"
"12/26/2023","995.60","992.20","1,001.60","987.50","","0.48%"
"12/25/2023","990.80","991.25","992.75","990.50","","0.92%"
"12/22/2023","981.80","971.50","988.60","965.50","","1.19%"
"12/21/2023","970.30","966.70","975.00","955.00","26.55K","-0.38%"
"12/20/2023","974.00","963.30","976.10","953.50","30.01K","0.85%"
"12/19/2023","965.80","953.50","968.00","945.20","25.86K","1.21%"
"12/18/2023","954.30","947.70","964.30","944.30","26.23K","0.91%"
"12/17/2023","945.65","948.00","949.50","945.65","","-0.73%"
"12/15/2023","952.60","966.30","973.20","943.50","38.07K","-1.58%"
"12/14/2023","967.90","943.10","971.30","940.10","42.83K","4.97%"
"12/13/2023","922.10","935.30","944.20","920.10","32.25K","-0.96%"
"12/12/2023","931.00","915.80","935.60","912.50","30.17K","1.67%"
"12/11/2023","915.70","920.50","931.80","914.20","20.16K","-0.99%"
"12/10/2023","924.85","922.05","925.05","920.80","","0.55%"
"12/08/2023","919.80","912.40","929.80","909.40","25.02K","0.86%"
"12/07/2023","912.00","892.30","919.10","890.00","26.88K","2.05%"
"12/06/2023","893.70","905.70","916.50","890.40","27.70K","-1.42%"
"12/05/2023","906.60","923.20","926.50","899.50","28.08K","-2.00%"
"12/04/2023","925.10","943.00","949.60","916.00","27.28K","-2.19%"
"12/03/2023","945.80","937.60","949.60","937.60","","1.04%"
"12/01/2023","936.10","933.20","943.10","923.20","23.11K","0.02%"
"11/30/2023","935.90","939.60","947.00","927.00","24.65K","-0.58%"
"11/29/2023","941.40","949.30","954.70","929.60","23.08K","-0.35%"
"11/28/2023","944.70","921.10","936.60","921.10","0.07K","2.91%"
"11/27/2023","918.00","931.80","938.10","914.40","0.05K","-1.84%"
"11/26/2023","935.25","939.95","939.95","934.60","","0.31%"
"11/24/2023","932.40","929.20","931.30","916.90","0.02K","0.95%"
"11/23/2023","923.60","931.70","936.50","920.60","","-0.24%"
"11/22/2023","925.80","935.70","941.90","923.20","0.04K","-1.66%"
"11/21/2023","941.40","921.10","942.00","921.10","0.02K","1.95%"
"11/20/2023","923.40","903.40","922.00","902.00","0.01K","2.60%"
"11/19/2023","900.00","904.70","904.75","899.95","","-0.55%"
"11/17/2023","905.00","898.30","913.70","895.70","","0.73%"
"11/16/2023","898.40","901.20","909.10","894.40","","-0.32%"
"11/15/2023","901.25","890.70","908.10","886.50","","1.18%"
"11/14/2023","890.70","869.60","895.55","868.60","","3.14%"
"11/13/2023","863.60","845.80","868.80","844.60","","1.74%"
"11/12/2023","848.85","845.65","849.00","845.65","","0.38%"
"11/10/2023","845.60","863.50","864.70","843.10","","-2.16%"
"11/09/2023","864.30","874.80","877.90","859.65","","-0.83%"
"11/08/2023","871.50","898.60","900.50","870.90","","-3.01%"
"11/07/2023","898.55","914.25","915.40","896.95","","-2.08%"
"11/06/2023","917.60","941.60","943.00","912.70","","-2.10%"
"11/05/2023","937.30","941.35","942.25","936.90","","-0.39%"
"11/03/2023","940.95","931.10","945.65","930.35","","1.11%"
